layer_index,relative_depth,score_base,score_full,score_layer,layer_contribution,training_steps,trainable_parameter_count,validation_metric,seed,checkpoint_digest
0,0.0,-3.3521750569343567,-1.4380191266536713,-2.9811277389526367,0.1938438306472299,2,14912384,negative_causal_ce,20260803,4e99f680dab86bb436d562b17d3a0fde
5,0.21739130434782608,-3.3521750569343567,-1.4380191266536713,-2.9871675968170166,0.19068846709046144,2,14912384,negative_causal_ce,20260803,006569c281f9d0afbb3817322ef02080
7,0.30434782608695654,-3.3521750569343567,-1.4380191266536713,-2.9812012314796448,0.19380543642560696,2,14912384,negative_causal_ce,20260803,849eaf290168e1b6bdc95df73ab9776a
9,0.391304347826087,-3.3521750569343567,-1.4380191266536713,-2.9717570543289185,0.1987392963067826,2,14912384,negative_causal_ce,20260803,14d413153ce225d1072073f5a3ee2c2e
10,0.43478260869565216,-3.3521750569343567,-1.4380191266536713,-2.956314742565155,0.20680672253861473,2,14912384,negative_causal_ce,20260803,7a9a7011b276325ad11dbfabf7931feb
12,0.5217391304347826,-3.3521750569343567,-1.4380191266536713,-2.9398951530456543,0.2153847016153209,2,14912384,negative_causal_ce,20260803,02d757565cdd47fde03cc4b32fb6bc0c
13,0.5652173913043478,-3.3521750569343567,-1.4380191266536713,-2.9519726634025574,0.20907512663982133,2,14912384,negative_causal_ce,20260803,eef3688a2fdffaa8bbc385dffeaa03cc
14,0.6086956521739131,-3.3521750569343567,-1.4380191266536713,-2.908300459384918,0.23189051138814495,2,14912384,negative_causal_ce,20260803,e4119131502b1ea5474c8cba539f14bc
16,0.6956521739130435,-3.3521750569343567,-1.4380191266536713,-2.9276185631752014,0.2217982804028404,2,14912384,negative_causal_ce,20260803,11d1fe5e7bbf6966293e1c5069eb896c
18,0.782608695652174,-3.3521750569343567,-1.4380191266536713,-2.9519571661949158,0.20908322274494864,2,14912384,negative_causal_ce,20260803,07f9c38524ab8d08206c2a09dc75c9eb
23,1.0,-3.3521750569343567,-1.4380191266536713,-3.008940279483795,0.17931390646958983,2,14912384,negative_causal_ce,20260803,42f327e4671d5e287cc1d06d77605940
