phase	action	N	E_delta_U	P_success	P_exhaustion	P_loop	E_delta_epi
ANSWER_READY	ANSWER	120	-1.0	0.3333	0.0	0.0	0.0
ANSWER_READY	SEARCH_MORE	8	-6.0	0.0	0.0	0.0	0.0
DISCRIMINATION	DEFER	20	-1.0	1.0	0.0	0.0	0.0
DISCRIMINATION	RETRIEVE	66	-5.0	1.0	0.303	0.0	0.0
DISCRIMINATION	SEARCH_MORE	40	-6.0	1.0	0.5	0.0	0.0
DISCRIMINATION	VERIFY	20	-7.0	1.0	0.0	0.0	1.0
NO_VIABLE_HYPOTHESIS	DEFER	180	-1.0	1.0	0.0	0.0	0.0
NO_VIABLE_HYPOTHESIS	SEARCH_MORE	146	-6.0	1.0	0.4932	0.0	0.0
RESOLUTION	RETRIEVE	20	-5.0	1.0	0.0	0.0	0.0
RESOLUTION	VERIFY	140	-6.0	0.4286	0.0	0.0	2.0
