Resuming: 450 executions already completed
Checkpoints: 90, operators: 5, replicates: 2
Total: 900, remaining: 450
  checkpoint 1/90 STOP r=123 SUCCESS
  checkpoint 1/90 STOP r=2024 SUCCESS
Loading model from /Users/dawsonblock/Downloads/qwen_gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf...
Model loaded.
  checkpoint 1/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 1/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 1/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 1/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 1/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 1/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 1/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 1/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 11/90 STOP r=123 SUCCESS
  checkpoint 11/90 STOP r=2024 SUCCESS
  checkpoint 11/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 11/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 11/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 11/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 11/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 11/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 11/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 11/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 21/90 STOP r=123 SUCCESS
  checkpoint 21/90 STOP r=2024 SUCCESS
  checkpoint 21/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 21/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 21/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 21/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 21/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 21/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 21/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 21/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 31/90 STOP r=123 SUCCESS
  checkpoint 31/90 STOP r=2024 SUCCESS
  checkpoint 31/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 31/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 31/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 31/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 31/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 31/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 31/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 31/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 41/90 STOP r=123 SUCCESS
  checkpoint 41/90 STOP r=2024 SUCCESS
  checkpoint 41/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 41/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 41/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 41/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 41/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 41/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 41/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 41/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 51/90 STOP r=123 SUCCESS
  checkpoint 51/90 STOP r=2024 SUCCESS
  checkpoint 51/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 51/90 SAMPLE_STANDARD r=2024 SUCCESS
